Date,Open,High,Low,Close,Volume,Market Cap
Oct-02-2021,47674.371041951264,49163.399147836935,47217.72131584826,48144.1454,47566767232,903971729927.2577
Oct-03-2021,48186.6468,49425.78169188632,47004.98982247337,49176.7613,60738746936.888885,906668798743.1597
Oct-04-2021,49273.7109,51785.31599248661,49066.91559562994,51545.04936807646,68596958151.111115,942701045366.051
Oct-05-2021,51500.05703123766,55556.80394454456,50416.72832611669,55385.44519072514,77199761550.22223,996348281000.7874
Oct-06-2021,55315.91067459052,55315.91067459052,53519.69322587221,53809.13817103468,88802412237.1568,1023645531853.3003
Oct-07-2021,53781.69777700771,55945.81378600629,53695.4158,53892.9323,83169587982.22223,1025574001390.9802
Oct-08-2021,53962.199,55386.05414572558,53800.0415,55102.17221375232,77278436707.55556,1030962211132.8713
Oct-09-2021,54926.17141243465,56211.9658,54267.53883894168,54689.5713,85188122481.77777,1038986399008.8298
Oct-10-2021,54695.9213,57736.51717173116,54559.1573,57399.22646992879,101108074300.60777,1067886941557.1184
Oct-11-2021,57399.22646992879,57556.70059541713,54375.79372451293,56035.85825462517,106240113166.62857,1066872557318.1188
Oct-12-2021,56030.57101118398,57686.24038342665,54357.84561609443,57357.6067,87099681979.49295,1056253205676.8024
Oct-13-2021,57385.8884,58392.5231,56931.28418447166,57351.7384160736,74616135622.106,1085970068063.6174
Oct-14-2021,57312.383791730215,62563.01739416664,56896.811944093984,61526.33413298988,86118647815.1359,1128342374834.0957
Oct-15-2021,61698.03021926293,62339.3663,60217.2594449329,60860.89183706596,120671026625.1228,1154753101204.413
Oct-16-2021,60867.89483798279,61582.25155249131,59381.23162795885,61582.25155249131,99027803955.2,1146551557538.9683
Oct-17-2021,61543.26469764322,62548.00970571279,60293.98,61953.2331,98838596113.9021,1164673652771.0479
Oct-18-2021,62020.0126,64428.9705,61735.8207,64217.0839,85006746873.66785,1182180787104.1194
Oct-19-2021,64252.7263,66931.09229192653,63641.1954,65986.30293718613,97986327751.11111,1224181952163.0308
Oct-20-2021,65961.04976056097,66605.56915710909,62072.18130090652,62298.093007718286,114587804017.77777,1212679643295.3584
Oct-21-2021,62196.96438572152,63656.365580547885,60156.94243643504,60694.00000650834,105551377578.66667,1172124092074.4678
Oct-22-2021,60690.28731420007,61723.89096650808,60130.010341058136,61238.6222,99046595242.66667,1151640556060.208
Oct-23-2021,61330.0096,61410.0176,59653.1376945732,60849.61639879063,78674725788.44444,1144507013385.8323
Oct-24-2021,60883.77302258394,63682.7975,60714.96209182918,62989.54469958203,124336882773.33333,1180344974286.8982
Oct-25-2021,63072.745334829735,63270.58883383054,60055.9485,60396.4959,85019446769.77777,1174884097102.4255
Oct-26-2021,60332.0231,61445.13251579432,58299.98097610285,58681.0152,84438787370.66667,1121518780792.2908
Oct-27-2021,58437.9831,61940.1053,58239.8096,60438.74647138581,99674333809.77777,1135296673708.2756
Oct-28-2021,60599.65957349495,62945.44056558977,60340.723739313726,62220.293663782926,86787949710.22223,1160996948405.6438
Oct-29-2021,62225.01294938173,62225.01294938173,60859.72022685099,61661.28735236688,82731468344.88889,1161725647399.2468
Oct-30-2021,61855.94185870527,62379.077,60134.76189365619,61339.97564069321,74910356821.33333,1151926735422.165
Oct-31-2021,61290.081559988255,62368.25764054866,59674.61041196477,61065.0310670206,76192515527.11111,1155221485093.0742
